Player_Id,Player_Name,Batting_hand,Country_Name,
332,K Upadhyay,Right-handed,Indian,
333,P Awana,Right-handed,Indian,
334,AD Russell,Right-handed,Abroad,
335,A Chandila,Right-handed,Indian,
222,S Ladda,Right-handed,Indian,
337,Sunny Gupta,Right-handed,Indian,
338,MC Juneja,Right-handed,Indian,
339,KK Nair,Right-handed,Indian,
225,DR Martyn,Right-handed,Abroad,
170,Yashpal Singh,Right-handed,Indian,
342,R Shukla,Right-handed,Indian,
343,B Laughlin,Right-handed,Abroad,
446,Anand Rajan,Right-handed,Indian,
345,M Vohra,Right-handed,Indian,
346,JD Unadkat,Right-handed,Indian,
347,Mohammed Shami,Right-handed,Indian,
223,DP Nannes,Right-handed,Abroad,
43,L Ronchi,Right-handed,Abroad,
350,CH Morris,Right-handed,Abroad,
351,SV Samson,Right-handed,Indian,
106,AB Dinda,Right-handed,Indian,
176,MN van Wyk,Right-handed,Abroad,
354,KL Rahul,Right-handed,Indian,
177,RE van der Merwe,Right-handed,Abroad,
221,KA Pollard,Right-handed,Abroad,
178,TL Suman,Right-handed,Indian,
358,LJ Wright,Right-handed,Abroad,
359,IC Pandey,Right-handed,Indian,
440,RR Bose,Right-handed,Indian,
361,X Thalaivan Sargunam,Right-handed,Indian,
362,DJG Sammy,Right-handed,Abroad,
363,KW Richardson,Right-handed,Abroad,
364,MM Sharma,Right-handed,Indian,
365,UA Birla,Right-handed,Indian,
366,Parvez Rasool,Right-handed,Indian,
367,Sandeep Sharma,Right-handed,Indian,
427,HM Amla,Right-handed,Abroad,
184,SM Harwood,Right-handed,Abroad,
424,Swapnil Singh,Right-handed,Indian,
458,TA Boult,Right-handed,Abroad,
237,KM Jadhav,Right-handed,Indian,
489,Rashid Khan,Right-handed,Abroad,
496,Vishnu Vinod,Right-handed,Indian,
257,IR Jaggi,Right-handed,Indian,
128,A Chopra,Right-handed,Indian,
64,DPMD Jayawardene,Right-handed,Abroad,
249,S Sriram,Left-handed,Indian,
248,DE Bollinger,Left-handed,Abroad,
493,T Natarajan,Left-handed,Indian,
60,WPUJC Vaas,Left-handed,Abroad,
476,BA Stokes,Left-handed,Abroad,
475,B Stanlake,Left-handed,Abroad,
467,RV Pawar,Left-handed,Indian,
117,Mohammad Asif,Left-handed,Abroad,
